               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11384,            0.014545,            0.039158,              0.2893,             0.10568,            0.030589,           0.0071061,            0.090452,            0.012763,            0.027371,            0.070545,           0.0032727,           0.0032727
                   1,             0.08484,            0.015976,            0.024814,             0.14288,             0.29614,             0.18418,            0.057177,            0.071663,            0.011805,            0.020114,            0.040415,           0.0064753,           0.0064753
                   2,            0.074108,            0.015698,            0.019623,             0.71036,             0.32081,             0.28752,             0.10242,             0.07293,            0.010545,            0.013318,            0.010152,           0.0095458,           0.0095458
                   3,            0.066476,            0.014789,            0.014425,             0.53132,             0.54519,             0.54618,             0.20112,            0.055447,            0.010373,           0.0088597,            0.009406,            0.009406,            0.009406
                   4,            0.056793,            0.014493,           0.0098552,             0.56867,             0.64857,             0.59817,             0.30805,            0.052546,           0.0096578,           0.0060658,            0.009406,            0.009406,            0.009406
                   5,            0.051721,            0.012588,           0.0079606,             0.68649,             0.64851,             0.69475,             0.32617,             0.04329,           0.0085526,           0.0052274,            0.009208,            0.009208,            0.009208
                   6,            0.049077,             0.01204,           0.0065994,             0.63634,             0.71298,             0.65094,             0.33194,            0.041941,           0.0081703,           0.0044593,             0.00901,             0.00901,             0.00901
                   7,            0.043995,             0.01102,           0.0059476,             0.78352,             0.69842,             0.74068,             0.38411,            0.033671,            0.007852,           0.0038139,            0.008812,            0.008812,            0.008812
                   8,            0.041978,            0.010772,           0.0051299,             0.72764,             0.74108,             0.74171,             0.38076,            0.036032,           0.0072949,           0.0036843,            0.008614,            0.008614,            0.008614
                   9,            0.040856,            0.010368,            0.004791,              0.8953,             0.77297,             0.84997,             0.48352,            0.033782,           0.0068445,           0.0033554,            0.008416,            0.008416,            0.008416
                  10,            0.041132,            0.010319,           0.0044823,             0.90015,             0.79298,             0.86443,             0.48532,            0.034241,           0.0065117,           0.0030775,            0.008218,            0.008218,            0.008218
                  11,            0.038346,            0.010046,           0.0040265,               0.868,             0.78855,             0.86232,             0.44564,            0.034913,           0.0065049,           0.0030041,             0.00802,             0.00802,             0.00802
                  12,            0.037726,            0.010108,           0.0039578,              0.9081,              0.8269,             0.87748,             0.55769,            0.030491,            0.006331,           0.0027161,            0.007822,            0.007822,            0.007822
                  13,            0.035566,           0.0093121,           0.0039764,             0.88765,             0.84004,             0.89172,             0.48981,             0.02856,           0.0061641,           0.0028261,            0.007624,            0.007624,            0.007624
                  14,            0.034058,           0.0095248,           0.0033695,             0.91805,             0.84393,             0.89524,             0.52092,            0.029892,           0.0061423,           0.0026044,            0.007426,            0.007426,            0.007426
                  15,            0.034443,           0.0097001,            0.003479,             0.88567,             0.86329,             0.88991,             0.55611,            0.025561,           0.0059487,           0.0024931,            0.007228,            0.007228,            0.007228
                  16,            0.032663,            0.009011,           0.0033328,             0.93769,             0.86225,             0.90828,             0.57297,            0.027877,           0.0058687,           0.0024044,             0.00703,             0.00703,             0.00703
                  17,            0.032656,           0.0088942,           0.0030994,             0.95536,             0.86916,             0.91499,              0.5981,            0.025665,           0.0056499,            0.002174,            0.006832,            0.006832,            0.006832
                  18,            0.030712,           0.0086676,           0.0027545,             0.93334,             0.86027,             0.91248,             0.56311,            0.026154,           0.0056476,            0.002281,            0.006634,            0.006634,            0.006634
                  19,            0.031272,           0.0085571,           0.0029497,             0.95662,             0.86626,             0.91955,             0.61544,            0.023615,           0.0054565,            0.002081,            0.006436,            0.006436,            0.006436
                  20,            0.029591,           0.0086832,           0.0028695,             0.95924,             0.86729,             0.91437,             0.59816,            0.026343,           0.0054879,           0.0019562,            0.006238,            0.006238,            0.006238
                  21,            0.029733,           0.0085396,           0.0027581,             0.94824,               0.877,             0.92655,              0.6119,            0.022827,           0.0052865,            0.001988,             0.00604,             0.00604,             0.00604
                  22,            0.029471,           0.0083494,           0.0025759,             0.94315,             0.86882,             0.92121,             0.61803,            0.023418,           0.0052688,             0.00196,            0.005842,            0.005842,            0.005842
                  23,            0.028696,           0.0082856,            0.002537,             0.94257,               0.882,             0.93146,             0.63592,            0.022471,           0.0052998,           0.0018157,            0.005644,            0.005644,            0.005644
                  24,            0.027198,           0.0084192,           0.0022947,             0.96266,             0.88078,             0.93175,             0.64988,            0.023164,           0.0051429,           0.0016512,            0.005446,            0.005446,            0.005446
                  25,            0.027133,            0.008196,           0.0022045,             0.96723,             0.87539,             0.93234,             0.66277,            0.022029,            0.005038,           0.0017006,            0.005248,            0.005248,            0.005248
                  26,            0.026994,           0.0077489,           0.0025938,             0.94365,             0.89628,             0.93854,             0.68258,            0.020493,           0.0049541,           0.0016358,             0.00505,             0.00505,             0.00505
                  27,            0.026206,           0.0082065,           0.0023851,             0.95139,             0.89166,             0.93553,             0.63719,             0.02316,            0.005079,           0.0015945,            0.004852,            0.004852,            0.004852
                  28,            0.025958,           0.0078654,           0.0022552,             0.94223,             0.88774,             0.93425,             0.66509,            0.020402,           0.0049313,           0.0015386,            0.004654,            0.004654,            0.004654
                  29,            0.025233,           0.0077531,           0.0022514,             0.96841,             0.87902,             0.93855,             0.67145,            0.020961,           0.0048389,           0.0014825,            0.004456,            0.004456,            0.004456
                  30,            0.024552,           0.0077029,           0.0022189,             0.98154,             0.87547,             0.94123,             0.68043,            0.020427,           0.0047554,           0.0013666,            0.004258,            0.004258,            0.004258
                  31,            0.024548,           0.0076623,             0.00195,             0.95285,             0.89761,             0.93729,             0.67716,            0.020473,           0.0048253,           0.0014113,             0.00406,             0.00406,             0.00406
                  32,            0.024362,           0.0077728,             0.00207,             0.95798,             0.88338,              0.9315,             0.68497,            0.019799,           0.0047798,           0.0014935,            0.003862,            0.003862,            0.003862
                  33,            0.023793,           0.0077237,           0.0019422,             0.96717,             0.89217,              0.9365,             0.67606,            0.019068,           0.0046795,           0.0012694,            0.003664,            0.003664,            0.003664
                  34,            0.022966,           0.0077235,           0.0017483,             0.97199,             0.89174,             0.94938,             0.68387,            0.018856,           0.0046307,           0.0012053,            0.003466,            0.003466,            0.003466
                  35,            0.022952,           0.0073527,           0.0017972,             0.94528,             0.91165,             0.94142,             0.69897,            0.017908,           0.0044937,            0.001176,            0.003268,            0.003268,            0.003268
                  36,             0.02242,           0.0073182,           0.0016369,             0.95044,             0.90454,             0.94444,             0.70687,            0.017962,           0.0044228,           0.0011974,             0.00307,             0.00307,             0.00307
                  37,            0.022723,             0.00754,            0.002076,             0.95875,             0.91124,             0.94959,             0.72375,            0.016897,           0.0043738,           0.0011685,            0.002872,            0.002872,            0.002872
                  38,            0.021473,            0.007363,           0.0016442,             0.95644,              0.9035,             0.94475,              0.7144,            0.017675,           0.0044502,           0.0010512,            0.002674,            0.002674,            0.002674
                  39,            0.021503,           0.0072914,           0.0016143,               0.953,             0.90503,             0.94878,              0.7151,            0.018113,           0.0043924,           0.0010142,            0.002476,            0.002476,            0.002476
                  40,             0.02099,           0.0071912,           0.0016005,             0.95344,             0.90921,             0.94909,             0.73183,            0.016643,           0.0042843,           0.0010126,            0.002278,            0.002278,            0.002278
                  41,             0.02085,           0.0071458,           0.0014552,             0.95259,             0.90431,              0.9473,              0.7209,            0.016641,            0.004269,          0.00093618,             0.00208,             0.00208,             0.00208
                  42,            0.020015,           0.0070069,           0.0014378,             0.96029,             0.90674,              0.9485,             0.72331,            0.017026,           0.0043064,          0.00088859,            0.001882,            0.001882,            0.001882
                  43,            0.020207,           0.0072968,           0.0013681,             0.95768,             0.91282,             0.95318,             0.74671,            0.016028,            0.004174,          0.00083959,            0.001684,            0.001684,            0.001684
                  44,            0.019711,           0.0069925,           0.0011679,             0.96108,             0.90873,              0.9499,             0.74152,            0.015666,           0.0041555,          0.00083755,            0.001486,            0.001486,            0.001486
                  45,            0.019469,           0.0068031,           0.0013984,             0.95949,             0.91785,             0.95277,             0.73949,            0.015608,           0.0041932,          0.00079538,            0.001288,            0.001288,            0.001288
                  46,            0.018845,           0.0067326,            0.001203,             0.95335,             0.91647,             0.94784,             0.73389,            0.015843,           0.0041582,          0.00077758,             0.00109,             0.00109,             0.00109
                  47,            0.018722,           0.0067256,           0.0012764,             0.95964,             0.90481,             0.94946,             0.75639,            0.015022,           0.0041003,           0.0007467,            0.000892,            0.000892,            0.000892
                  48,            0.018416,           0.0070261,           0.0012624,             0.95515,             0.91092,             0.95232,             0.75532,            0.014933,           0.0040761,           0.0007217,            0.000694,            0.000694,            0.000694
                  49,            0.018859,           0.0069803,           0.0011271,             0.95633,             0.91204,             0.95105,             0.74217,            0.015367,           0.0041188,          0.00070919,            0.000496,            0.000496,            0.000496
